,remainder
822,25.49096596091988
823,9.490586577864761
824,3.490207194809642
825,-23.510172188245463
826,25.48944842869942
827,48.489069045644314
828,16.488689662589195
829,42.48831027953409
830,47.48793089647897
831,-22.512448486576133
832,-31.512827869631252
833,-25.51320725268637
834,-31.513586635741476
835,8.486033981203406
836,-25.5143454018517
837,-37.51472478490682
838,-1.5151041679619226
839,37.48451644898296
840,59.484137065927854
841,34.483757682872735
842,32.483378299817616
843,60.48299891676251
844,65.48261953370739
845,64.48224015065229
846,44.48186076759717
847,4.4814813845420645
848,-4.518897998513054
849,16.48072261843184
850,11.480343235376722
851,-43.28373378170191
852,-41.28411316475702
853,-26.284492547812135
854,-43.28487193086724
855,-48.28525131392236
856,-51.285630696977464
857,-47.28601008003258
858,-11.286389463087687
859,-1.286768846142806
860,-0.2871482291979106
861,-11.28752761225303
862,19.71209300469185
863,20.711713621636747
864,27.711334238581628
865,47.71095485552652
866,52.710575472471405
867,71.7101960894163
868,48.70981670636118
869,51.70943732330608
870,16.709057940250958
871,26.70867855719584
872,22.708299174140734
873,51.707919791085615
874,32.70754040803051
875,17.70716102497539
876,-7.293218358079713
877,1.7064022588651682
878,-6.2939771241899365
879,-11.294356507245055
880,-24.294735890300174
881,-27.29511527335528
882,-50.49711619448672
883,-39.49749557754183
884,-25.49787496059693
885,3.5017456563479357
886,-15.498633726707169
887,-4.499013109762274
888,-1.4993924928174067
889,-14.499771875872511
890,7.499848741072384
891,-16.50053064198272
892,-16.500910025037854
893,5.498710591907042
894,27.498331208851937
895,39.49795182579683
896,55.4975724427417
897,48.497193059686595
898,58.49681367663149
899,33.49643429357636
900,46.49605491052125
901,-10.504324472533852
902,-18.504703855588957
903,-6.50508323864409
904,11.494537378300805
905,10.4941579952457
906,-8.506221387809433
907,-7.506600770864537
908,2.493019846080358
909,65.49264046302525
910,29.49226107997012
911,16.491881696915016
912,-24.94949060552355
913,-7.949869988578655
914,22.049750628366212
915,23.049371245311107
916,0.048991862256002605
917,28.04861247920087
918,51.048233096145765
919,71.04785371309066
920,54.047474330035556
921,40.04709494698042
922,36.04671556392532
923,33.04633618087021
924,18.04595679781508
925,-8.954422585240025
926,-11.95480196829513
927,-7.955181351350234
928,-17.955560734405367
929,-35.95594011746047
930,-17.956319500515576
931,28.04330111642932
932,19.042921733374186
933,20.04254235031908
934,-14.957837032736023
935,-0.9582164157911564
936,9.041404201153739
